Date,Time,Exercise,Total Sets,Total Reps
2024-07-16,09:18:58,Push-Ups,3,5
2024-07-16,15:25:28,Push-Ups,3,1
2024-07-16,15:26:02,Push-Ups,3,4
2024-07-16,19:57:01,Push-Ups,3,5
2024-07-17,09:43:01,Push-Ups,3,5
2024-07-17,09:50:19,Push-Ups,3,5
